material,name,examples,recyclingInformation,plasticNumber,outcome
Plastics,Polyethylene terephthalate,"Water bottle, soda bottle","Take the cap off. Rinse the bottle with water. Remove the label and plastic seal, if necessary. Repeat the process for the other bottles. Consider crushing the bottles if you have a lot of them. Place the bottles into a bag.",1,"Not safe to reuse, recycle"
Plastics,High-Density Polyethylene,"Milk bottles, shampoos, soap bottles, detergents, motor oil bottles","After a quick rinse, Then simply put it out for curbside pickup or take it to your nearest recycling center.",2,Dishwasher safe to reuse
Plastics,Polyvinyl chloride,"Plumbing pipes, furniture","Call a local secondhand store to see if your product can be donated. Even if your furniture needs repair, many stores will perform these functions and resell your items. ",3,Not recyclable
Plastics,Low-Density Polyethylene,"Grocery bags, plastic cling wrap, sandwich bags,squeeze bottles","Remove anything inside the bags, Keep a bag collection bin in your house, drop them off at your local grocery store.",4,Not recyclable
Plastics,Polypropylene,"Diapers, tupperware, medecine bottles",Be sure to dump any remnants into a toilet. Try to wrap them as tightly as possible to reduce risk of spillage. Put them in a sealed trash can if possible.,5,Recyclable
Plastics,Polystyrene,"Egg cartons, coffee cups, plastic utensils","Use empty items as organizers for garage items such as nuts, bolts and screws, or craft items such as buttons, threads, beads and pastels.",6,Not recyclable
Metals,Gold/Silver,"jewellery, fillings",Each can be melted down and turned back into jewelry or used in computer circuit boards and many other items,,Recylable
Metals,Aluminum,"aluminum can, foil, tray, bicycle",Clean as much as possible before recycling. Separate them from the packagaing. Combine into one ball.,,Recyclable
Metals,Brass,musical instruments,Dissasemble the parts. Weigh the items. Drop them off at a scrap metal dealer.,,Recyclable
Metals,Copper,"Scrap copper, copper wire","Bundle your copper wire to make it manageable to handle, and weigh it. ",,Recyclable
Metals,Ferrous Metals,"cast iron engine block, wrought iron barbed wire",Scrap-metal dealers operate in most major cities and are a good option for recycling iron materials.,,Recyclable
Metals,Grills,Barbeque grills,They should be disposed of in the standard garbage waste pick-up. Metal side shelves can be broken down and recycled at your local scrap metal dealer. Cut off the hose that runs from the tank connector to the burners and dispose of it in the standard domestic garbage waste pick-up.,,Not recyclable
Metals,Pipe,pipe,Ground into small pieces that can be easily processed into new compounds ready to be melted and formed into new products.,,Recyclable
Metals,Stainless Steel,"Knife, trays, utensils, screws,","Place them wrapped in a cardboard box and throw it away. If you're intent on throwing away the knife, place it in a box before throwing it out. ",,Recyclable
Glass,Crown Glass,"interior design, tableware",Reduced to glass pieces called cullet at plants with systems large enough for this job.,,Recyclable
Glass,Stained Glass,"windhsields, alchoholic beverages, photochromic spectacles","The windshield must be manually rolled into a machine that is seventy inches long and fifty inches wide. Once the windshield is fed through this machine, it breaks up the chunks of PVC allowing for easy separation.",,Recyclable
Glass,Clear Glass,"windows, mirrors","Carefully put the pieces of the broken mirror into a trash bag. Close the bag, and then put it inside a second trash bag. Visit your waste collection",,Recyclable
Glass,Treated Glass,"test tubes, shower door, phone screen",Place non-contaminated glassware in sturdy cardboard box lined with a plastic bag. Securely seal the box with tape. Label the box “CLEAN Lab Glass - Trash”. Place in the trash or directly into a dumpster.,,Recyclable
Food Waste,Uneaten food,"burgers, pizzas, sandwiches, leftovers, etc.","Use food scraps such as fruits and vegetables, coffee grounds, eggshells, nutshells. Do not dispose of meat, dairy or oils this way. Add the food waste to cardboard, newspaper, vegetation and other organic materials in your compost pile.",,Recyclable
Food Waste,"Tea bags, coffee grounds","green tea, iced tea, coffee beans","Tea bags go in the compost, but most wrappers in which teabags come go in the trash",,Recyclable
Food Waste,"Out of date, moldy food",expired stuff,Throw them in the trash.,,not recyclable
Paper,Craft paper,"A4 paper, colored paper","The separated paper is then washed with soapy water to remove inks, plastic film, staples and glue. The paper is put into a large holder where it is mixed with water to create 'slurry'.",,Recyclable
Paper,Tissue paper,"wet wipes, paper towels","Instead of tossing used paper towels into the garbage can, toss them into the compost bin along with eggshells, coffee grounds and filters and scraps of fruit and vegetables. ",,Recyclable
Paper,Newspaper,printed newspaper,"Damp newspaper strips are the most common bedding material, meaning you can use all of your old newspaper at home if you have a worm bin set up.",,Recyclable
Paper,Cardboard,"storage card board, construction paper","Separate it from other paper, such as office paper and newspaper. The cardboard is then baled and sent to a mill, shredded into small pieces, and put in a pulping machine to introduce water/chemicals and break down the cardboard into fibers.",,Recyclable
Paper,Magazines,glossy magazine paper,"Most curbside programs accept them for recycling. Many recycling centers will take them also. Collections of magazines may be valuable to collectors, depending on their age and condition. Magazines can also be great for craft projects of all sorts.",,Recyclable
Paper,Photographic paper,"film, developing paper, photographs","Those chemicals cannot be mixed in with normal paper. If you live in an area where your curbside recycler accepts photographs printed on newer photo paper, you can toss them in the recycling bin when you no longer want them. Otherwise, reuse is your only eco-friendly option for recycling old pictures.",,Not recyclable
Paper,Posters,"wallpapers, stickers","Add used or leftover wallpaper scraps to the contents of your recycling bin, because it is primarily made of paper. Unfortunately, it's not that simple. Some types of wallpaper contain a high concentration of synthetic inks and dyes that is difficult and costly to separate from the paper.",,Recyclable
Paper,Chart paper,"small, large","The separated paper is then washed with soapy water to remove inks, plastic film, staples and glue. The paper is put into a large holder where it is mixed with water to create 'slurry'.",,Recyclable
Paper,Paper bags,"grocery bags, sandwich bags","Paper bags can be recycled, even if they have handles attached with adhesive; adhesive does not contaminate paper recycling. If the handle is not made of paper, tear it off and then recycle the bag.",,Recyclable
Electronics,Cameras,"digital, polaroid, flash","When you recycle your digital camera, make sure you include items like battery chargers and the cords to connect the camera to the computer. They also contain metals and plastic that can be recycled.",,Recyclable
Electronics,Cell Phone,"touch screen, chat, flip, slide","You can dispose of it at most household waste and recycling centres in the containers marked ""small electricals"".",,Recyclable
Electronics,Computer,"laptop, desktop, monitor, cpu, keyboard, mouse","Instead of dumping your laptop in the trash, look for electronic collection programs that will help you recycle it",,Recyclable
Electronics,Television,"LCD, HD, 3D, old-fashioned","Big-screen TVs, office copiers/printers and audio receivers/amplifiers fall into the large electronics category for recycling purposes because they contain many of the same wires and computer components that are valued in the recycling market.",,Recyclable
